Date,store_id,product_id,volume
01-01-19,3,104,228
02-01-19,1,114,345
03-01-19,1,110,116
04-01-19,2,103,152
05-01-19,2,111,293
06-01-19,2,116,98
07-01-19,2,108,198
08-01-19,3,112,90
09-01-19,1,104,30
10-01-19,3,109,328
11-01-19,1,119,49
12-01-19,3,118,313
13-01-19,2,118,267
14-01-19,2,105,114
15-01-19,3,113,29
16-01-19,3,116,80
17-01-19,1,115,91
18-01-19,2,114,181
19-01-19,3,118,346
20-01-19,3,117,127
21-01-19,2,119,244
22-01-19,1,109,334
23-01-19,2,114,240
24-01-19,2,115,284
25-01-19,2,117,257
26-01-19,3,104,261
27-01-19,2,103,299
28-01-19,2,116,153
29-01-19,3,104,150
30-01-19,3,120,333
31-01-19,3,117,175
01-02-19,1,118,240
02-02-19,1,102,285
03-02-19,1,115,24
04-02-19,2,120,251
05-02-19,2,120,123
06-02-19,1,102,169
07-02-19,1,116,172
08-02-19,3,103,131
09-02-19,1,113,3
10-02-19,1,107,177
11-02-19,1,114,184
12-02-19,3,114,239
13-02-19,2,115,190
14-02-19,3,104,226
15-02-19,3,102,66
16-02-19,2,108,95
17-02-19,3,113,172
18-02-19,2,114,289
19-02-19,1,120,276
20-02-19,1,110,131
21-02-19,1,108,251
22-02-19,1,117,163
23-02-19,2,104,196
24-02-19,1,112,268
25-02-19,3,105,174
26-02-19,3,105,237
27-02-19,1,118,293
28-02-19,3,111,89
01-03-19,3,101,282
02-03-19,2,106,193
03-03-19,1,110,60
04-03-19,3,115,130
05-03-19,2,101,3
06-03-19,3,113,211
07-03-19,3,109,13
08-03-19,2,114,305
09-03-19,1,119,60
10-03-19,1,115,54
11-03-19,1,115,145
12-03-19,1,116,19
13-03-19,2,110,155
14-03-19,3,108,196
15-03-19,1,115,308
16-03-19,3,117,243
17-03-19,1,112,139
18-03-19,3,112,43
19-03-19,2,115,16
20-03-19,2,117,45
21-03-19,2,103,59
22-03-19,2,103,221
23-03-19,3,109,313
24-03-19,2,120,347
25-03-19,3,105,20
26-03-19,3,116,144
27-03-19,2,116,256
28-03-19,2,119,118
29-03-19,2,108,260
30-03-19,3,108,266
31-03-19,1,120,173
01-04-19,1,102,321
02-04-19,1,103,107
03-04-19,3,104,8
04-04-19,1,115,217
05-04-19,1,114,149
06-04-19,3,116,65
07-04-19,1,104,322
08-04-19,1,113,112
09-04-19,2,109,19
10-04-19,1,115,278
11-04-19,1,107,228
12-04-19,2,118,1
13-04-19,3,106,202
14-04-19,2,112,58
15-04-19,2,119,269
16-04-19,1,106,139
17-04-19,3,111,263
18-04-19,1,101,347
19-04-19,3,107,253
20-04-19,2,115,2
21-04-19,2,118,147
22-04-19,1,115,20
23-04-19,3,104,175
24-04-19,1,112,290
25-04-19,3,105,66
26-04-19,1,117,215
27-04-19,2,112,287
28-04-19,1,101,279
29-04-19,1,107,174
30-04-19,2,105,149
01-05-19,3,101,96
02-05-19,3,109,335
03-05-19,1,108,313
04-05-19,2,101,78
05-05-19,1,116,201
06-05-19,1,108,108
07-05-19,3,105,137
08-05-19,1,108,202
09-05-19,1,104,101
10-05-19,1,117,32
11-05-19,2,111,74
12-05-19,3,114,204
13-05-19,2,116,72
14-05-19,1,108,192
15-05-19,2,112,166
16-05-19,2,112,230
17-05-19,1,107,33
18-05-19,2,116,12
19-05-19,2,108,117
20-05-19,2,109,254
21-05-19,1,117,334
22-05-19,3,118,194
23-05-19,2,103,114
24-05-19,2,108,11
25-05-19,3,114,18
26-05-19,1,112,145
27-05-19,1,108,185
28-05-19,1,109,78
29-05-19,1,111,242
30-05-19,2,108,3
31-05-19,2,115,26
01-06-19,3,108,265
02-06-19,1,106,164
03-06-19,1,119,276
04-06-19,2,104,43
05-06-19,1,113,205
06-06-19,3,120,57
07-06-19,3,108,59
08-06-19,2,102,274
09-06-19,2,116,238
10-06-19,3,111,24
11-06-19,1,102,246
12-06-19,1,105,292
13-06-19,2,105,222
14-06-19,2,103,145
15-06-19,1,120,24
16-06-19,3,107,286
17-06-19,3,116,57
18-06-19,3,101,36
19-06-19,1,120,317
20-06-19,1,110,53
21-06-19,3,118,231
22-06-19,3,120,146
23-06-19,2,113,114
24-06-19,2,111,108
25-06-19,2,112,228
26-06-19,3,109,322
27-06-19,3,120,106
28-06-19,1,118,188
29-06-19,3,108,151
30-06-19,2,107,90
01-07-19,2,114,53
02-07-19,2,102,292
03-07-19,2,103,283
04-07-19,1,117,181
05-07-19,3,116,318
06-07-19,1,109,279
07-07-19,1,112,107
08-07-19,1,107,331
09-07-19,1,110,144
10-07-19,1,103,208
11-07-19,1,117,40
12-07-19,2,116,173
13-07-19,3,113,272
14-07-19,3,112,43
15-07-19,3,120,313
16-07-19,3,117,287
17-07-19,2,108,334
18-07-19,1,116,220
19-07-19,2,108,239
20-07-19,3,110,104
21-07-19,2,117,237
22-07-19,2,111,238
23-07-19,2,114,190
24-07-19,1,105,263
25-07-19,2,112,25
26-07-19,1,101,204
27-07-19,2,101,43
28-07-19,1,112,34
29-07-19,3,105,45
30-07-19,3,106,249
31-07-19,1,106,137
01-08-19,3,108,194
02-08-19,1,115,155
03-08-19,3,120,4
04-08-19,2,104,253
05-08-19,1,105,187
06-08-19,3,110,143
07-08-19,3,120,159
08-08-19,1,116,4
09-08-19,2,120,3
10-08-19,1,105,98
11-08-19,2,114,183
12-08-19,1,114,270
13-08-19,2,105,163
14-08-19,1,106,157
15-08-19,1,117,116
16-08-19,1,104,212
17-08-19,2,114,129
18-08-19,2,102,126
19-08-19,1,104,152
20-08-19,2,105,99
21-08-19,1,118,136
22-08-19,3,105,328
23-08-19,3,109,201
24-08-19,1,117,118
25-08-19,2,111,207
26-08-19,2,107,77
27-08-19,2,117,264
28-08-19,3,116,148
29-08-19,2,110,205
30-08-19,2,110,195
31-08-19,2,102,72
01-09-19,2,118,123
02-09-19,3,120,210
03-09-19,1,104,346
04-09-19,3,101,196
05-09-19,2,114,92
06-09-19,1,116,233
07-09-19,3,117,158
08-09-19,1,109,117
09-09-19,2,117,219
10-09-19,3,112,139
11-09-19,3,104,145
12-09-19,1,116,192
13-09-19,2,120,54
14-09-19,2,116,279
15-09-19,3,114,5
16-09-19,1,106,231
17-09-19,1,119,189
18-09-19,3,102,295
19-09-19,3,115,89
20-09-19,2,111,221
21-09-19,1,105,131
22-09-19,3,120,242
23-09-19,2,113,79
24-09-19,3,117,340
25-09-19,2,102,262
26-09-19,2,113,11
27-09-19,2,115,323
28-09-19,3,110,126
29-09-19,3,109,6
30-09-19,1,104,33
01-10-19,1,102,321
02-10-19,1,115,156
03-10-19,1,110,183
04-10-19,1,110,265
05-10-19,1,119,268
06-10-19,3,109,18
07-10-19,1,103,83
08-10-19,2,118,58
09-10-19,3,110,293
10-10-19,3,115,55
11-10-19,1,116,13
12-10-19,1,103,243
13-10-19,3,107,149
14-10-19,2,114,103
15-10-19,1,111,175
16-10-19,2,114,187
17-10-19,3,116,262
18-10-19,2,113,342
19-10-19,2,116,124
20-10-19,2,108,290
21-10-19,2,104,9
22-10-19,3,103,271
23-10-19,3,119,220
24-10-19,3,104,165
25-10-19,2,113,313
26-10-19,2,117,40
27-10-19,2,106,116
28-10-19,3,114,22
29-10-19,3,105,23
30-10-19,2,111,43
31-10-19,3,102,59
01-11-19,3,109,302
02-11-19,2,106,288
03-11-19,2,110,341
04-11-19,2,111,93
05-11-19,1,105,162
06-11-19,3,105,73
07-11-19,1,111,296
08-11-19,1,107,38
09-11-19,3,104,113
10-11-19,3,104,251
11-11-19,2,101,160
12-11-19,3,103,326
13-11-19,1,105,145
14-11-19,2,109,120
15-11-19,1,106,262
16-11-19,3,105,143
17-11-19,2,110,114
18-11-19,1,109,107
19-11-19,2,112,10
20-11-19,3,111,65
21-11-19,1,101,187
22-11-19,3,111,136
23-11-19,3,105,14
24-11-19,1,101,313
25-11-19,1,102,84
26-11-19,2,111,206
27-11-19,1,116,178
28-11-19,3,110,253
29-11-19,1,108,335
30-11-19,1,113,247
01-12-19,1,110,138
02-12-19,2,118,215
03-12-19,3,105,198
